Category breakdown,2009-10 ,2010-11 ,2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20,2020-21 ,2021-22 ,2022-23 
Total ,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Infectious diseases Total ,1.372831,1.598998,1.49871,1.19897,1.267055,1.228779,1.240821,1.17374,1.68984,1.522633,1.536776,6.387784,4.703901,2.907537
Cancers & tumours Total ,6.196113,6.139197,5.96395,5.834692,6.033223,6.244181,6.178212,6.401848,6.435682,6.631641,6.748342,6.757631,6.737163,7.386815
Blood disorders Total ,0.838537,0.822948,0.798495,0.649037,0.733488,0.714558,0.788153,0.748954,0.800466,0.937875,0.998249,1.00214,0.8936,0.821495
"Endocrine, nutritional & metabolic problems Total ",3.10737,3.408242,3.481771,3.588558,3.590322,3.665575,3.649636,3.767035,3.992526,3.974027,3.922548,4.075196,4.315112,4.272752
Diabetes ,1.497823,1.725246,1.772816,1.752056,1.772886,1.706601,1.655365,1.747565,1.765173,1.809627,1.782743,1.775828,1.80257,1.697603
"Other endocrine, nutritional and metabolic problems ",1.609548,1.682996,1.708955,1.836502,1.817436,1.958974,2.394029,2.019469,2.227352,2.1644,2.139805,2.299368,2.512542,2.575149
Mental health problems Total ,9.846227,10.783757,11.063288,10.871079,10.394713,10.442345,10.399265,9.699035,10.282926,10.207357,10.333445,9.934778,9.574828,9.979397
General mental illness ,4.218644,5.709255,4.9249,4.793964,4.440409,3.874498,3.855243,3.27833,4.510946,4.609047,4.497663,4.656138,4.516172,4.617517
Elderly mental illness ,2.753178,2.139977,2.912865,3.146889,2.869412,3.362479,3.542748,3.547806,3.422957,3.3415,3.384855,3.016105,2.848702,2.911684
Child & adolescent mental health services ,0.976216,0.665992,0.881706,1.002439,0.838812,0.781073,0.642654,0.67847,0.700568,0.715212,1.02044,0.823494,0.864497,1.087395
Other mental health problems ,1.898189,2.268533,2.343817,1.927788,2.246079,2.424295,2.35862,2.194429,1.648456,1.541599,1.430487,1.439042,1.345457,1.362801
Learning disability problems Total ,2.28289,2.272062,2.190001,2.031072,2.394904,2.251563,2.396222,2.509252,2.846855,2.804486,2.576666,2.79715,2.247804,2.405776
Neurological system problems Total ,3.190679,3.40055,3.206278,4.675607,5.049153,4.852451,5.545681,4.655598,4.191731,4.121287,3.877361,4.367567,3.977723,4.027494
Eye/vision problems Total ,1.938029,2.033275,2.050629,2.11442,2.154538,2.343848,2.295306,2.622463,2.740488,2.567424,2.598364,1.980381,2.027921,2.087976
Hearing problems Total ,0.423515,0.469912,0.417685,0.388048,0.398735,0.399028,0.398772,0.377199,0.419575,0.403149,0.411329,0.296769,0.417502,0.371339
Circulation problems Total ,8.774776,8.245884,7.78928,7.846257,7.691414,7.581018,7.111917,7.089803,7.109552,6.899203,6.960638,7.580549,7.089633,7.125377
Coronary Heart Disease ,3.921645,2.927755,2.836019,2.326096,2.18322,1.98871,1.831324,1.709467,1.554148,1.371441,1.263027,1.327912,1.259545,1.009015
Cerebrovascular disease ,1.057283,0.985503,0.8901,1.124156,1.044858,1.055972,1.107193,1.088255,1.028641,1.080724,1.058746,1.358261,1.075315,1.212439
Other problems of circulation,3.795848,4.332626,4.06316,4.396005,4.463336,4.536336,4.1734,4.292082,4.526763,4.447037,4.638865,4.894377,4.754772,4.903923
Respiratory problems Total ,6.385575,6.625641,6.601762,6.584302,6.686298,6.598905,6.687261,6.576102,6.175729,6.125963,6.167645,5.168015,4.977841,5.212912
Dental problems Total ,3.650423,3.087588,3.263221,3.178414,3.066258,3.537003,3.544756,3.616889,3.549303,2.91637,2.830267,2.654931,2.971234,2.460992
Gastro intestinal problems Total ,5.6925,5.809005,5.97165,5.740948,5.774086,5.947271,6.131302,6.182509,5.817618,5.824083,6.026973,5.969735,5.788571,6.546589
Skin problems Total ,1.940681,2.250762,2.311216,2.583417,2.670423,2.604307,2.543783,2.42707,2.137121,2.138668,2.140399,1.972405,1.846693,1.881927
Musculo skeletal system problems (exc Trauma) Total ,6.519245,6.511615,6.509176,6.703508,6.487588,6.279658,6.22103,6.502822,6.308586,5.871733,5.516178,3.3368,4.569906,5.214476
Trauma & injuries (inc burns) Total ,6.878929,6.636542,6.230403,6.551936,6.513367,6.537938,6.791803,6.744231,6.720786,6.937319,7.04439,7.085728,7.616688,7.981252
Genito Urinary system disorders (exc infertility) Total ,4.125224,4.493034,4.651618,4.419084,4.384193,4.412083,4.531863,4.359126,3.877573,4.014476,3.905446,3.795435,4.031132,4.050476
Genital tract problems ,1.89022,2.102558,1.905298,1.084103,1.079231,0.950908,1.004252,1.030623,1.038139,1.007047,0.967058,0.70685,0.962797,0.902143
Renal problems ,0.281432,0.297211,0.282471,1.300288,0.930556,0.987913,0.935088,1.396043,1.331204,1.448209,1.494661,1.519772,1.49284,1.536548
Chronic renal failure,0.71157,0.636724,0.652673,0,0,0,0,0,0,0,0,0,0,0
Sexually transmitted infections ,0,0,0,0.050709,0.397147,0.437203,0.430752,0.00293,0.00414,0.009733,0.007184,0.004471,0.004021,0.003579
Other problems of the genito urinary system ,1.242002,1.456542,1.811176,1.983984,1.97726,2.036059,2.161771,1.92953,1.504089,1.549486,1.436543,1.564342,1.571475,1.608207
Maternity & reproductive health Total ,3.567859,3.66628,3.453713,3.663554,3.515807,3.475797,3.279178,3.344415,3.282057,3.43775,3.437674,3.513285,3.476739,3.605028
Neonates Total ,0.867286,1.017539,0.716127,0.863545,0.998855,0.913038,0.949404,0.807399,0.800739,0.733709,0.806575,1.053068,0.768902,0.851671
Poisoning Total ,0.948232,1.129439,0.990987,1.047801,1.110197,1.003575,1.041882,1.015243,0.990937,0.959137,0.975828,0.983474,0.819231,0.9157
Healthy individuals (includes Screening) Total ,2.65738,2.733337,2.723385,2.679066,2.188863,2.092886,2.163795,2.307052,2.143295,2.00067,2.081692,2.171288,2.607189,2.455207
Social care needs Total ,1.099442,0.737637,0.663372,0.450228,0.776562,0.738925,0.898484,0.902727,0.922811,0.827107,0.932976,0.77146,0.763021,0.739591
Other Total ,17.696258,16.126757,17.453283,16.336456,16.119955,16.135268,15.211476,16.169486,16.763807,18.143935,18.170239,16.344431,17.777668,16.698221
General medical services ,6.569664,6.330286,6.37764,6.800087,6.026578,6.217412,5.610243,5.119381,5.103829,5.844185,5.266407,5.592002,5.494412,4.823962
Open access ,0.992879,1.059809,1.696261,1.205771,1.081464,1.15709,1.149005,1.193434,1.158123,1.070052,1.135736,0.792396,0.960937,1.186999
Continuing care ,6.854846,4.369217,3.63409,3.51163,4.057937,4.797171,3.602663,4.197145,3.158553,2.978425,2.626221,3.486474,3.252839,2.937507
Other PHW functions,0,0.470151,0.511731,0.681982,1.289266,1.289755,1.277493,0.997184,1.074533,1.116852,1.178439,0.9127,1.236765,1.432091
Other expenditure ,3.278869,3.897294,5.233561,4.136986,3.664711,2.67384,3.572072,4.662342,6.268769,7.134421,7.963436,5.560859,6.832715,6.317661
